code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,开盘价,开板价格,开板涨幅%(未开板未截止目前累计涨幅%),涨停板个数,历史最高,历史最高涨幅%,现价
002898,赛隆药业,化学制药,广东,60.9,0.4,1.6,68440.71,49048.96,6112.75,30446.93,1.9,0.293,3.87,6.16,20170912,13025.37,0.81,0.0,0.0,69.99,18.81,26489.0,10.83,33.19,206.4635272391505,11,34.15,215.32779316712833,23.82
002899,英派斯,文教休闲,山东,36.21,0.3,1.2,118624.8,94746.56,17900.74,62523.36,5.21,0.67,7.93,3.08,20170915,16727.21,1.39,0.0,0.0,37.44,10.74,23490.0,19.26,45.83,137.95430944963653,8,49.53,157.1651090342679,24.39
603655,朗博科技,汽车配件,江苏,74.72,0.27,1.06,33882.87,17456.89,14246.38,16674.9,1.57,0.235,3.86,6.07,20171229,5691.89,0.54,0.0,0.0,46.18,18.79,28308.0,0.0,0,0.0,0,0.0,0.0,0.0
603709,中源家居,家居用品,浙江,36.55,0.2,0.8,41752.76,0.0,0.0,0.0,0.0,0.706,2.42,14.2,20180208,0.0,0.0,0.0,0.0,0.0,9.68,19998.0,0.0,0,0.0,0,0.0,0.0,0.0
001965,招商公路,路桥,北京,15.45,5.55,61.78,5978384.5,1058908.75,0.0,0.0,0.0,0.455,6.98,1.34,20171225,0.0,0.0,0.0,0.0,0.0,75.41,0.0,11.0,11.44,3.9999999999999956,0,15.38,39.81818181818182,9.37
603970,中农立华,其他商业,北京,38.4,0.33,1.33,239227.95,214653.55,5559.5,540.77,0.04,0.544,3.78,7.38,20171116,21996.17,1.65,0.0,0.0,11.33,2.51,35402.0,0.0,0,0.0,0,0.0,0.0,0.0
603043,广州酒家,食品,广东,27.9,0.5,4.04,251119.47,210599.77,26091.11,56473.0,1.4,0.54,3.87,4.73,20170627,50270.12,1.24,0.0,0.0,53.95,11.76,21956.0,0.0,0,0.0,0,0.0,0.0,0.0
600901,江苏租赁,多元金融,江苏,25.54,6.4,29.87,4737941.0,0.0,56044.36,103792.31,0.35,0.29,2.59,3.82,20180301,186222.8,0.62,0.0,0.0,0.0,57.45,575923.0,7.5,11.79,57.19999999999998,4,12.82,70.93333333333334,9.88
603680,今创集团,运输设备,江苏,30.68,0.42,4.2,549317.25,394765.72,58971.98,43780.8,1.04,0.958,5.04,7.77,20180227,83832.84,2.0,0.0,0.0,38.62,19.57,40917.0,0.0,0,0.0,0,0.0,0.0,0.0
300696,爱乐达,航空,四川,102.78,0.17,0.69,72619.96,53274.55,14581.25,48251.71,7.0,0.71,10.13,7.47,20170822,9670.87,1.4,0.0,0.0,71.14,52.0,11589.0,26.86,80.06,198.06403574087864,10,101.86,279.22561429635147,75.72
